epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,35.5453,0.87686,4.7365,1.06543,0.21288,0.14621,0.03279,0.03021,0.66808,5.2608,0.9456,0.0001875,6.25e-05,0.0001875,6.25e-05,0.0001875,6.25e-05,0.0001875,6.25e-05
2,41.9455,0.86189,4.55825,1.08354,0.23144,0.16607,0.05047,0.04042,0.61394,4.64912,0.92513,0.000387253,0.000129084,0.000387253,0.000129084,0.000387253,0.000129084,0.000387253,0.000129084
3,49.3537,0.77498,3.9102,1.03182,0.1658,0.27251,0.0974,0.08978,0.5604,4.02088,0.90366,0.0005802,0.0001934,0.0005802,0.0001934,0.0005802,0.0001934,0.0005802,0.0001934
4,55.2507,0.72765,3.44479,1.01327,0.10463,0.43822,0.18856,0.17366,0.53091,3.64267,0.89137,0.000766341,0.000255447,0.000766341,0.000255447,0.000766341,0.000255447,0.000766341,0.000255447
5,62.2322,0.74151,2.98155,1.03889,0.16164,0.45693,0.21598,0.19431,0.51398,3.1163,0.88289,0.000945675,0.000315225,0.000945675,0.000315225,0.000945675,0.000315225,0.000945675,0.000315225
6,68.5328,0.70742,2.52322,0.99149,0.35465,0.58343,0.36712,0.33546,0.48996,2.63172,0.87143,0.0011182,0.000372734,0.0011182,0.000372734,0.0011182,0.000372734,0.0011182,0.000372734
7,74.9356,0.67583,2.23799,0.99667,0.47635,0.51011,0.51032,0.46975,0.47039,2.26759,0.86397,0.00128392,0.000427975,0.00128392,0.000427975,0.00128392,0.000427975,0.00128392,0.000427975
8,80.9028,0.65393,1.94875,0.9763,0.64252,0.59898,0.66643,0.62151,0.4556,1.72761,0.85537,0.00144284,0.000480947,0.00144284,0.000480947,0.00144284,0.000480947,0.00144284,0.000480947
9,87.2474,0.61703,1.74669,0.95984,0.61207,0.68365,0.73098,0.67606,0.45364,1.50504,0.8561,0.00159495,0.00053165,0.00159495,0.00053165,0.00159495,0.00053165,0.00159495,0.00053165
10,93.2214,0.60957,1.39801,0.94356,0.65267,0.70514,0.76744,0.71027,0.44977,1.3812,0.85544,0.00159656,0.000532187,0.00159656,0.000532187,0.00159656,0.000532187,0.00159656,0.000532187
11,99.6658,0.58193,1.22558,0.93056,0.78517,0.68292,0.80275,0.73377,0.45355,1.18615,0.85519,0.00156563,0.000521875,0.00156563,0.000521875,0.00156563,0.000521875,0.00156563,0.000521875
12,105.655,0.59192,1.11403,0.92574,0.6884,0.80898,0.86718,0.78515,0.45585,1.01068,0.85579,0.00153469,0.000511562,0.00153469,0.000511562,0.00153469,0.000511562,0.00153469,0.000511562
13,111.782,0.60638,1.05178,0.95922,0.69132,0.83435,0.87066,0.80389,0.45838,0.93766,0.85559,0.00150375,0.00050125,0.00150375,0.00050125,0.00150375,0.00050125,0.00150375,0.00050125
14,117.278,0.57053,0.88928,0.92703,0.784,0.826,0.88792,0.82225,0.46883,0.80505,0.85765,0.00147281,0.000490937,0.00147281,0.000490937,0.00147281,0.000490937,0.00147281,0.000490937
15,123.809,0.58045,0.83118,0.93351,0.84491,0.84299,0.90639,0.82751,0.46906,0.7325,0.85768,0.00144187,0.000480625,0.00144187,0.000480625,0.00144187,0.000480625,0.00144187,0.000480625
16,129.764,0.54496,0.73667,0.91038,0.75762,0.91503,0.90103,0.82116,0.46004,0.70989,0.85609,0.00141094,0.000470312,0.00141094,0.000470312,0.00141094,0.000470312,0.00141094,0.000470312
17,134.587,0.54407,0.7105,0.91424,0.76745,0.8873,0.89994,0.82322,0.45504,0.70882,0.85243,0.00138,0.00046,0.00138,0.00046,0.00138,0.00046,0.00138,0.00046
18,141.598,0.53802,0.68325,0.90658,0.81995,0.89231,0.90281,0.82721,0.45396,0.66585,0.84955,0.00134906,0.000449688,0.00134906,0.000449688,0.00134906,0.000449688,0.00134906,0.000449688
